file_name,gene,sex,side,magnification,img_id,feature
mam_F_L_oly_4X_84_cropped.png,mam,F,L,4X,84,"[33502.0, 4079.4501064058045, 645.3712759611509, 206.96444354048546, 3.1182712591639263, 0.9471840353818521, 0.2876127846981963, 2149.0, 0.06414542415378187, 1.0, -1.543788632098683e-17, 1.3568576742390553e-17, 0.24392351955111782, -0.35184798427439345, -0.40509949513611976, 0.33206824304835886, 0.07506645059881645, 0.08759995040447041, -0.03503869313733604, -0.08363102691671294, -0.08346212439731593, 0.04092430612824957, 0.08838530173199416, 0.06465283001002112, -0.08663027004944446, -0.013304858763216085, 0.09673484864852651, -0.018221489458638246, -0.13127499481652313, -0.020052119053401617, 0.0646825882967923, 0.05224563727310901, -0.03321845303156027, -0.03107373362311967, -0.012485044684301727, 0.02553323992611316, -0.025314060296444032, 0.010215769817775716, 0.0004660469541814267, 0.01911666895579187, 0.02164649071768471, 0.0006619183475153482, 0.004705303454867827, 0.00041382440557876575, -0.02585478555119304, -0.007215085438420839, 0.036228242176405, 0.010068142813673693, -0.002518071187800699, 29, 13, 0, 2426.6946596652288, 83.67912619535272, 426.78174593052063, 113.16374748580684, 0.02567010924720912, 0.9572014265324642, 0.8120868744098206, 0.022804608680078803, 0.9461521990283541, 0.4400921658986175, 0.02026744671959883, 0.9524734453910633, 0.6287037037037037, 0.017252701331263807, 0.9924708927794613, 0.7372448979591837, 0.01423795594292878, 0.9713391687414114, 0.6863309352517986, 0.010536684377052116, 0.9373193134288523, 0.6292335115864528]"
tkv_M_L_oly_4X_132_cropped.png,tkv,M,L,4X,132,"[36045.0, 5348.412659927568, 749.3567551011838, 195.1321254235435, 3.840253128359411, 0.96550095787297, 0.2875777884155098, 2719.0, 0.07543348592037731, 1.0, -2.860440433453299e-17, -7.081883711723234e-18, 0.31404890130169794, -0.11717290552877532, -0.1865076744136787, 0.07713448472689247, -0.08126372428732015, 0.022365527455872992, 0.056847969610322686, -0.018441764688214846, -0.020957240725600908, -0.11107921372075669, -0.027097155421422173, 0.0957449996819994, 0.017554197616401392, -0.024816664770281195, -0.03715213928344034, -0.03221748254286609, 0.020460097966682737, 0.0074472007180847915, 0.010279974899492221, 0.015034743301153614, -0.0252161064404759, -0.016833548570572027, 0.031174353833132436, 0.019317694458157994, -0.005597847644906473, 0.002449636266457028, -0.003227150229449018, 0.021338305662564016, 0.019259914259131865, 0.01715492961133379, 0.0025987986152777582, -0.0006414177054193901, 0.005266382270902755, 0.0011927030547780645, 0.00803716522061919, 0.0186126081514777, 0.01118869029316135, 37, 14, 0, 3048.8145007123735, 82.40039191114523, 445.0954544295056, 110.46515245409213, 0.04658066306006381, 0.9909243368644567, 0.62486043915147, 0.029352198640588155, 0.9496024905571853, 0.763898916967509, 0.010958524067138299, 0.9945299843569516, 0.8144329896907216, 0.007573866000832293, 0.9807085773940137, 0.7777777777777778, 0.003662089055347482, 0.9323526849237316, 0.6666666666666666, 0.0024968789013732834, 0.8637764453650345, 0.4891304347826087]"
star_M_L_oly_4X_40_cropped.png,star,M,L,4X,40,"[41872.0, 4764.156779911102, 650.2868495699453, 227.18037154854164, 2.8624253281098206, 0.9369907783694443, 0.3054121079504012, 2443.0, 0.05834447841039358, 1.0, -7.10163766070298e-18, -2.1981561031783063e-18, 0.19899058692663518, -0.3144250117865521, -0.6189677406268234, 0.2866115892264347, 0.0637516972617174, -0.09734635568485298, 0.16644316776932783, -0.02055210626767805, -0.18865048198396617, 0.0456151270798375, -0.08321692748757122, -0.0454721013950675, 0.04554862454238831, 0.232594733719601, 0.11732085617682365, -0.12030267448391598, -0.19463561762792334, 0.018713036293910912, 0.14975353438597072, -0.06070436952199046, -0.07367682400154706, -0.006156598419113407, -0.043571397077937196, 0.009345688650483576, -0.027189893467534216, 0.024131582346121, -0.009642633373849574, -0.0386199587303891, -0.0035169483151611734, -0.0033809648794174735, 0.01258317398627302, 0.024263738201566538, 0.0003932770130861561, 0.0080365223907903, -0.015144054869821833, -0.01401218008213081, -0.013894642328635631, 23, 10, 0, 2783.2409075835667, 121.01047424276376, 446.9949493661173, 124.74457310193992, 0.03570405043943447, 0.929951019702897, 0.5165860400829302, 0.03496369889186091, 0.9766840273222903, 0.7233201581027668, 0.02607948032097822, 0.9646655515865816, 0.5300970873786408, 0.017792319449751626, 0.9938404538821491, 0.7736240913811008, 0.014138326327856323, 0.9757358607389179, 0.6899766899766899, 0.01108139090561712, 0.9070899394149408, 0.5491124260355029]"
samw_M_L_oly_4X_89_cropped.png,samw,M,L,4X,89,"[99533.0, 2044.3748545118326, 569.2107198005142, 244.94128522234965, 2.3238659798971963, 0.902677640589489, 0.8790105357978681, 1141.0, 0.011463534707082073, 1.0, -2.3473258025424215e-17, 1.3781210405004138e-16, 0.5059507621103959, 0.02583965886105102, 0.004060134509686215, 0.05866625573176145, 0.06307771145854324, 0.07049600145664907, -0.006046566022015746, -0.021395166883225354, 0.025334882839212463, -0.010542990809842783, 0.018166751605558196, -0.00739913668741921, 0.017118064324935556, 0.024809666421887724, -0.012049610414378548, 0.009733299252350783, 0.0028519346870503055, -0.0022216298654119527, 0.011212307692671664, -0.008491375726249167, 0.001096025424755505, 0.004816409260200446, -0.003523148317059015, 0.002078864837898542, 0.0033527223520510106, 0.0022049273702105495, -0.00034027767813341346, -0.004380781044803328, -0.001719767119626408, 0.0016887163310778319, 0.0006737062665556007, 0.004340011758870836, 0.001837030846091297, -0.0005706438158980506, 0.0017638843324978765, -0.002779904672842898, 0.002713817395948744, 20, 10, 0, 1306.2712113868656, 65.31356056934328, 216.15432893255104, 61.27151322191802, 0.1403454130790793, 0.9023440994906543, 0.8912779940024246, 0.1247827353741975, 0.9892333183103952, 0.8422623084226231, 0.10076055177679764, 0.990566576362634, 0.6237328192051744, 0.040047019581445346, 0.6215535648943532, 0.526969857218403, 0.03650045713481961, 0.9936524644726884, 0.8370967741935483, 0.02640330342700411, 0.9929814036141678, 0.6279569892473118]"
mam_M_L_oly_4X_133_cropped.png,mam,M,L,4X,133,"[110080.0, 2587.962732990513, 642.8894764701957, 254.09452008701695, 2.5301194069436543, 0.9185786386208102, 0.820745291600185, 1638.0, 0.014880087209302326, 1.0, 3.788209218067927e-18, 2.6670113392100172e-18, 0.4402992647366116, -0.03221683604970485, 0.012495956944969074, -0.07190746986740944, -0.08924193268178189, 0.07716575678226745, 0.007690697393618727, -0.03384554715434366, 0.010575517760876505, 0.015949214092370663, -0.005520326097394704, -0.002548448628859688, -0.030364840040562613, 0.03379624609350337, -0.005394120722948598, 0.0035820130208102413, -0.003968359154242717, 0.00855824907165494, -0.0053419638767101835, 0.0006855193538849851, -0.0068990615197956654, 0.010662406761577072, -0.0006901032275310223, -0.00600245889566231, -0.0014599089184446083, 0.001089521616745599, 0.0008152749364586459, -0.0038674431254477806, -0.0017645415713975958, 0.004887171619619326, -0.0004711284268602125, -0.0033069911217832445, -0.0006384073464914562, 0.001847587953153686, -0.0030533985648876984, -0.003044303618210702, -0.004746775381265941, 35, 16, 0, 1898.7119036079307, 54.24891153165516, 239.4680374315359, 49.203625158194626, 0.12228379360465116, 0.9055627673220503, 0.7964146254881079, 0.12009447674418605, 0.9899389479859761, 0.7652677279305354, 0.1018077761627907, 0.9905327811748731, 0.6434887459807074, 0.05572311046511628, 0.9946985963359583, 0.822582808099772, 0.03404796511627907, 0.9932103612275002, 0.7004298262007101, 0.025245276162790698, 0.8543556604124768, 0.4389511925446217]"
mam_F_L_oly_4X_127_cropped.png,mam,F,L,4X,127,"[39387.0, 5421.363886692288, 791.7984125988445, 207.5576109394793, 3.814836801285601, 0.9650313726973698, 0.29073904570686193, 2659.0, 0.0675095843806332, 1.0, -8.253229040481228e-17, 6.8400723505254815e-18, 0.25608566400368776, -0.03164494535901346, -0.16039192852823306, 0.0784043945848026, -0.05973046157148488, 0.09427266495680695, -0.00153567857185134, -0.06782156902963017, -0.02693398497734753, -0.009350869443223993, 0.0217201072574699, 0.0758143462383894, -0.041371156806388684, -0.05099374921249876, -0.004686220453736086, 0.014391151007618865, 0.019413282842602245, -0.01043686217521052, -0.03183254025763597, 0.014561790003139705, 0.008234226391793501, -0.010712470496878545, 0.0026472115916231576, -0.011962969468021601, -0.0082587223025469, -0.009159236162584393, 0.011158456192392573, 0.01815750222296106, -0.012935141641356649, -0.029149784369870042, 0.006028908925517384, 0.004054422090440335, 0.010567074867251502, 0.00032034010104569515, -0.007257655202997573, -0.0016882556297806342, -0.00011956141969433831, 19, 5, 0, 2934.1383104791253, 154.42833213048027, 469.71067811865504, 140.4313350111629, 0.0402670932033412, 0.9740465659760729, 0.7036379769299024, 0.02851194556579582, 0.9452885083281308, 0.730644111906311, 0.012643765709498057, 0.9957227240390689, 0.7929936305732485, 0.010942696828902938, 0.9114382252169305, 0.9329004329004329, 0.00822606443750476, 0.9959412621057264, 0.3050847457627119, 0.008175286261964608, 0.9437364076680552, 0.8496042216358839]"
egfr_F_R_oly_4X_3_cropped.png,egfr,F,R,4X,3,"[33912.0, 5463.958907845904, 773.0231284285011, 193.916205628252, 3.986377136062722, 0.9680248451305878, 0.2621136351339862, 2602.0, 0.07672800188723755, 1.0, 5.785469525721338e-17, -2.906650359208673e-16, 0.2863388351520852, -0.5681679323576148, 0.4587198950244154, -0.22364304919287914, -0.019508276976824925, 0.05279753735136633, 0.18614566272456287, 0.08777287276544339, 0.13096157328807578, 0.05509935983146841, 0.07298584270504399, 0.008463715614022349, 0.006241810868027036, 0.08537490153885235, -0.06703056006575903, 0.07106853763468914, -0.015191561694933874, 0.008821589155921641, -0.01298766124229187, -0.002055112827553017, -0.015706997982976544, 0.023187901541899873, 0.012611016707421926, 0.038395173496588046, -0.0026326353020466424, 0.015112393008968102, 0.03047057975735966, 0.0002068580552953211, -0.011738492203416741, -0.008354633417667895, -0.003109577983828846, 0.009287923551225936, -0.010032913619290734, -0.03127895262887919, -0.004162634487102141, -0.0066958264925148355, -0.0037702172567524016, 22, 8, 0, 2934.542422773732, 133.38829194426054, 494.4213562373105, 146.43590089546973, 0.0385999056381222, 0.9607230660169378, 0.7445961319681457, 0.031699693323897146, 0.9628464473185334, 0.7835276967930029, 0.023325076669025713, 0.9959750620010777, 0.7364990689013036, 0.012561924982307147, 0.9429847356185379, 0.902542372881356, 0.009170794998820477, 0.9200536013995256, 0.8614958448753463, 0.0047475819768813396, 0.966934287518957, 0.8702702702702703]"
egfr_M_R_oly_4X_140_cropped.png,egfr,M,R,4X,140,"[39869.0, 5052.634052058628, 700.7962424808616, 202.74198154078175, 3.456591659778642, 0.9572377789124503, 0.33054212921893267, 2450.0, 0.061451252853093885, 1.0, -1.0884311286065909e-16, 4.720531901054278e-18, 0.373079417843083, 0.08107191398708129, -0.20575811968320742, 0.11618800991530742, 0.010680282997234494, 0.051095058350182104, -0.020223673072303883, -0.0014695060393958783, 0.030619223125095105, 0.0986522908228705, -0.04376490315978841, 0.10857230601154562, -0.05081197744179778, -0.024887744425668736, 0.05142917294713962, 0.02211412250773864, 0.07071507821771925, -0.004659892557986522, -0.022715260579932825, -0.008677989148964208, -0.0020083506547590277, -0.005350090114183599, -0.019491076343348665, 0.010440841511731089, -0.002245947290729865, 0.006084836016595463, -0.006879191290196794, -0.0031543052886002796, -0.007086408662327746, 0.018573584406561216, -0.0031443585148670555, 0.025152694486009954, -0.006506573758274712, -0.007958269908487324, 0.014245007865442362, 0.0006644356722126422, 0.01882679919995245, 27, 9, 0, 2771.1160159025394, 102.63392651490886, 434.90663761154906, 103.26349748841572, 0.02731445483959969, 0.9605852643020235, 0.8595106550907656, 0.025433294037974365, 0.9448658384098401, 0.6640471512770137, 0.013368782763550628, 0.9942774887654753, 0.7183288409703504, 0.008628257543454814, 0.9112978691819709, 0.9148936170212766, 0.007323986054327924, 0.9672263334582006, 0.5214285714285715, 0.006019714565201033, 0.91275880289362, 0.8759124087591241]"
star_M_L_oly_4X_65_cropped.png,star,M,L,4X,65,"[121729.0, 3842.998266896446, 565.0491480683329, 410.67661267026654, 1.3758980439482988, 0.6868512289593155, 0.6237107327495658, 2390.0, 0.019633776667844147, 1.0, 3.833384181131632e-17, 3.7479998252006527e-17, -0.10660372487821367, 0.24806125042102323, -0.32063772914122285, -0.012242362848847024, -0.23914829892945577, -0.11271786870874186, 0.30047636909197906, -0.11724398388091573, -0.15348032928961428, -0.07138635734561778, -0.07572718117886262, -0.05524661204184042, 0.00945822400438371, 0.01038088943578357, 0.022103389140111486, 0.01931531034565944, -0.07081292446894107, 0.0022262900408584235, 0.04466690272196664, 0.02083540707178042, 0.03243038758729726, -0.020825996694131352, -0.0044317242711920625, 0.020148103227607926, 0.008575222687597854, 0.006545118013496488, -0.005219874653721329, 0.010228805614941171, -0.0018160256535136388, 0.019670259049701433, -0.0023474679982377024, 0.02388022340244625, 0.015465737943316266, -0.00797812625145964, 0.008406874531652437, -0.0030922045036705895, 0.00366446623126638, 39, 18, 0, 2742.2531008923847, 70.31418207416371, 257.7817459305204, 62.87740995426492, 0.20718974114631683, 0.6861839389915011, 0.7659438775510204, 0.20476632519777538, 0.8679067750574467, 0.6547240681883849, 0.10850331474011944, 0.9284245933460248, 0.966698382492864, 0.041214501063838525, 0.9958869982514306, 0.7228065120299668, 0.02471884267512261, 0.9921941740634312, 0.5998803827751196, 0.022032547708434307, 0.9935627709518223, 0.6750566322678077]"
egfr_F_R_oly_4X_43_cropped.png,egfr,F,R,4X,43,"[34912.0, 5120.840112819287, 733.6153438736001, 195.41906678259292, 3.754062261947857, 0.9638686134295895, 0.28548532177610597, 2506.0, 0.07178047662694775, 1.0, 3.5413840548535043e-19, -2.454620134715806e-16, 0.12940148253383174, -0.17402921257932585, 0.28136421838088926, -0.2593748227182024, 0.03787704544763616, -0.4266555883902193, 0.16320212330129216, 0.034984245712350856, -0.101548160392843, 0.05120123708465591, -0.11565352779828299, -0.00918509746176215, 0.035439900674529685, -0.2609006488150246, 0.1614476644709901, -0.05142932186300872, 0.06126992402182546, 0.09828038453875923, 0.09137992545424864, 0.07090968547590223, 0.02719963196889596, 0.04632732133675522, 0.06093908837135473, 0.007526036774092381, 0.06481167391881112, 0.04055544357590772, -0.01508219115939414, 0.003255952372167865, 0.0038050798806139683, -0.04264362664543378, -0.0010035432399343126, -0.014958940426249305, 0.03045850554249922, -0.014896392821711102, 0.030736197899366685, -0.01307013881167767, 0.022925528707421865, 33, 15, 0, 2840.8561312727174, 86.08654943250659, 416.62236636408693, 115.8954527862083, 0.0484647112740605, 0.9865245486422244, 0.6213734851266985, 0.030591200733272227, 0.9752219865217493, 0.7585227272727273, 0.01870417048579285, 0.9963803083708691, 0.6102803738317757, 0.010168423464711274, 0.975563095058885, 0.4551282051282051, 0.005871906507791017, 0.9674083133025302, 0.7677902621722846, 0.00529903758020165, 0.97948623404165, 0.6902985074626866]"
